attribute,global_step,epoch,train_loss,eval_loss,learning_rate,grad_norm,timestamp
complexity,500,1.993516,0.94844389,0.84489091,3.56810855843e-05,0.41015625,2026-07-01T11:29:41.916140+00:00
complexity,502,2.000000,0.76531346,0.84480807,3.53211705794e-05,0.60546875,2026-07-01T11:30:00.769138+00:00
complexity,510,2.031920,0.70874164,,3.3897290673e-05,0.47460938,2026-07-01T11:30:10.263231+00:00
complexity,510,2.031920,0.72601044,0.84499228,3.3897290673e-05,0.47460938,2026-07-01T11:30:26.827936+00:00
complexity,520,2.071820,0.72342342,,3.21550389848e-05,0.54296875,2026-07-01T11:30:36.799107+00:00
complexity,520,2.071820,0.82710928,0.84626528,3.21550389848e-05,0.54296875,2026-07-01T11:30:53.361850+00:00
complexity,530,2.111721,0.73535579,,3.04577603517e-05,0.36132812,2026-07-01T11:31:02.810730+00:00
complexity,530,2.111721,0.61472106,0.84652966,3.04577603517e-05,0.36132812,2026-07-01T11:31:19.374761+00:00
complexity,540,2.151621,0.69177053,,2.8808796071e-05,0.36523438,2026-07-01T11:31:29.399803+00:00
complexity,540,2.151621,0.68906701,0.84646306,2.8808796071e-05,0.36523438,2026-07-01T11:31:45.970742+00:00
complexity,550,2.191521,0.69473580,,2.72113923274e-05,0.36132812,2026-07-01T11:31:56.000288+00:00
complexity,550,2.191521,0.61115175,0.84641626,2.72113923274e-05,0.36132812,2026-07-01T11:32:12.554667+00:00
complexity,560,2.231421,0.75829062,,2.56686938024e-05,0.35937500,2026-07-01T11:32:21.703857+00:00
complexity,560,2.231421,0.65740991,0.84636135,2.56686938024e-05,0.35937500,2026-07-01T11:32:38.255928+00:00
complexity,570,2.271322,0.78009976,,2.41837374837e-05,0.48242188,2026-07-01T11:32:45.373940+00:00
complexity,570,2.271322,0.71218669,0.84655528,2.41837374837e-05,0.48242188,2026-07-01T11:33:01.934818+00:00
complexity,580,2.311222,0.81892823,,2.27594466866e-05,0.41406250,2026-07-01T11:33:09.667972+00:00
complexity,580,2.311222,0.89696318,0.84675689,2.27594466866e-05,0.41406250,2026-07-01T11:33:26.223638+00:00
complexity,590,2.351122,0.77093025,,2.13986252988e-05,0.41210938,2026-07-01T11:33:34.102343+00:00
complexity,590,2.351122,0.66782135,0.84714837,2.13986252988e-05,0.41210938,2026-07-01T11:33:50.655988+00:00
complexity,600,2.391022,0.69963500,,2.01039522611e-05,0.47070312,2026-07-01T11:33:57.712978+00:00
complexity,600,2.391022,0.69650155,0.84710121,2.01039522611e-05,0.47070312,2026-07-01T11:34:14.271244+00:00
complexity,610,2.430923,0.74143497,,1.88779762931e-05,0.43554688,2026-07-01T11:34:23.144791+00:00
complexity,610,2.430923,0.81138128,0.84716858,1.88779762931e-05,0.43554688,2026-07-01T11:34:39.709970+00:00
complexity,620,2.470823,0.76978413,,1.77231108761e-05,0.43164062,2026-07-01T11:34:47.846235+00:00
complexity,620,2.470823,0.96048689,0.84682720,1.77231108761e-05,0.43164062,2026-07-01T11:35:04.414901+00:00
complexity,630,2.510723,0.73197390,,1.66416295017e-05,0.46875000,2026-07-01T11:35:13.913807+00:00
complexity,630,2.510723,0.83545202,0.84658013,1.66416295017e-05,0.46875000,2026-07-01T11:35:30.477155+00:00
complexity,640,2.550623,0.71070979,,1.56356611961e-05,0.46289062,2026-07-01T11:35:39.651325+00:00
complexity,640,2.550623,0.74267870,0.84680779,1.56356611961e-05,0.46289062,2026-07-01T11:35:56.220564+00:00
complexity,650,2.590524,0.69162513,,1.47071863289e-05,0.56250000,2026-07-01T11:36:04.603422+00:00
complexity,650,2.590524,0.92170095,0.84692024,1.47071863289e-05,0.56250000,2026-07-01T11:36:21.167913+00:00
complexity,660,2.630424,0.71116480,,1.38580327147e-05,0.38281250,2026-07-01T11:36:29.787500+00:00
complexity,660,2.630424,0.52122611,0.84681208,1.38580327147e-05,0.38281250,2026-07-01T11:36:46.359560+00:00
complexity,670,2.670324,0.79282680,,1.30898720146e-05,0.50000000,2026-07-01T11:36:55.710909+00:00
complexity,670,2.670324,0.74437624,0.84674461,1.30898720146e-05,0.50000000,2026-07-01T11:37:12.292540+00:00
complexity,680,2.710224,0.74649118,,1.24042164454e-05,0.42187500,2026-07-01T11:37:22.254105+00:00
complexity,680,2.710224,0.70396596,0.84666818,1.24042164454e-05,0.42187500,2026-07-01T11:37:38.816124+00:00
complexity,690,2.750125,0.69183943,,1.18024158026e-05,0.50781250,2026-07-01T11:37:47.622636+00:00
complexity,690,2.750125,0.70843518,0.84674734,1.18024158026e-05,0.50781250,2026-07-01T11:38:04.187946+00:00
complexity,700,2.790025,0.74695945,,1.12856548031e-05,0.56250000,2026-07-01T11:38:12.021488+00:00
complexity,700,2.790025,0.77066541,0.84691910,1.12856548031e-05,0.56250000,2026-07-01T11:38:28.590403+00:00
complexity,710,2.829925,0.73867294,,1.08549507532e-05,0.39843750,2026-07-01T11:38:36.827630+00:00
complexity,710,2.829925,0.73795605,0.84698952,1.08549507532e-05,0.39843750,2026-07-01T11:38:53.387382+00:00
complexity,720,2.869825,0.78380523,,1.05111515456e-05,0.48242188,2026-07-01T11:39:00.745028+00:00
complexity,720,2.869825,0.77545112,0.84693121,1.05111515456e-05,0.48242188,2026-07-01T11:39:17.295179+00:00
complexity,730,2.909726,0.76242934,,1.02549339905e-05,0.48242188,2026-07-01T11:39:27.127128+00:00
complexity,730,2.909726,0.77242184,0.84696224,1.02549339905e-05,0.48242188,2026-07-01T11:39:43.688694+00:00
complexity,740,2.949626,0.73750178,,1.0086802483e-05,0.45312500,2026-07-01T11:39:52.807191+00:00
complexity,740,2.949626,0.85704118,0.84695492,1.0086802483e-05,0.45312500,2026-07-01T11:40:09.366986+00:00
complexity,750,2.989526,0.74930838,,1.00070880101e-05,0.50390625,2026-07-01T11:40:20.623009+00:00
complexity,750,2.989526,0.67897516,0.84688505,1.00070880101e-05,0.50390625,2026-07-01T11:40:37.185327+00:00
complexity,753,3.000000,0.73933365,0.84693310,1.00004430115e-05,0.60156250,2026-07-01T11:40:55.610277+00:00
