evaluator,p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
armorm,dominant_correctness,Fair,"alpha=2.0,eps=0.02",9.612224679853674e-05,-0.0004561405844475917,0.0014831542968749695
armorm,dominant_correctness,Fair,"alpha=2.0,eps=0.05",0.00024030551303609338,-0.0011403514365406374,0.0005310058593749889
armorm,dominant_correctness,Fair,"alpha=2.0,eps=0.1",0.0004806112490832256,-0.002280702963785941,-0.0007385253906250361
armorm,dominant_coherence,Avg,rho=0.0,0.1822276869320186,-0.13166531526036493,-0.005448150634765642
armorm,dominant_coherence,Avg,rho=0.1,0.18222768693201896,-0.1316653152603652,-0.005448150634765642
armorm,dominant_coherence,Avg,rho=0.2,0.18222768693201893,-0.13166531526036523,-0.005448150634765642
armorm,dominant_coherence,Avg,rho=0.5,0.11020748277672886,-0.0885172312577058,0.0013023376464843459
armorm,dominant_coherence,MaxMin,c=0.0,0.10684200900703679,-0.0934687735243124,0.0013313293457031111
armorm,dominant_coherence,MaxMin,c=0.1,0.10208614554195056,-0.07023926135588587,-0.001300811767578125
armorm,dominant_coherence,MaxMin,c=0.25,0.08212225096187144,-0.054016526342689684,-0.0011619567871093833
armorm,dominant_coherence,MaxMin,c=0.5,0.05400496802019527,-0.03552217265760777,0.004813385009765608
armorm,dominant_coherence,MaxMin,c=0.75,0.026887649029836803,-0.017685552759477002,0.0041572570800780945
armorm,dominant_coherence,MaxMin,c=0.9,0.01073998304883094,-0.007064304381361608,-0.0002395629882812611
armorm,dominant_coherence,MaxMin,c=0.95,0.005368015652697645,-0.0035308525462430843,0.0012779235839843611
armorm,dominant_coherence,Fair,"alpha=0.0,eps=0.01",-0.0035861072394071172,-0.009999999999999992,-0.0031749725341796986
armorm,dominant_coherence,Fair,"alpha=0.0,eps=0.02",-0.007172214478814244,-0.019999999999999993,0.0023864746093749944
armorm,dominant_coherence,Fair,"alpha=0.0,eps=0.05",-0.01793053619703571,-0.05000000000000002,0.0011329650878906111
armorm,dominant_coherence,Fair,"alpha=0.0,eps=0.1",-0.03586107239407142,-0.10000000000000003,0.006166839599609356
armorm,dominant_coherence,Fair,"alpha=0.5,eps=0.01",6.730339406252125e-05,-0.0008913129357855749,-0.002142333984375036
armorm,dominant_coherence,Fair,"alpha=0.5,eps=0.02",0.00013460679758051165,-0.0017826262552892835,-0.002468872070312489
armorm,dominant_coherence,Fair,"alpha=0.5,eps=0.05",0.00033651684533306296,-0.004456565340760551,9.155273437497224e-05
armorm,dominant_coherence,Fair,"alpha=0.5,eps=0.1",0.0006730337976454156,-0.008913131062446351,0.0010894775390624667
armorm,dominant_coherence,Fair,"alpha=1.0,eps=0.01",3.492892665035162e-05,-0.0004526563591171411,-0.001559448242187511
armorm,dominant_coherence,Fair,"alpha=1.0,eps=0.02",6.985791506161713e-05,-0.0009053127613945044,-0.002142333984375036
armorm,dominant_coherence,Fair,"alpha=1.0,eps=0.05",0.00017464468030911978,-0.002263281769785088,-0.002468872070312489
armorm,dominant_coherence,Fair,"alpha=1.0,eps=0.1",0.00034928973240334,-0.004526564139737824,0.00018310546874998612
armorm,dominant_coherence,Fair,"alpha=2.0,eps=0.01",1.7783183795623536e-05,-0.00022807029310763523,-0.0011596679687500139
armorm,dominant_coherence,Fair,"alpha=2.0,eps=0.02",3.5566394322885194e-05,-0.0004561405673135488,-0.001559448242187511
armorm,dominant_coherence,Fair,"alpha=2.0,eps=0.05",8.891586343919704e-05,-0.001140351430956645,-0.003265380859375014
armorm,dominant_coherence,Fair,"alpha=2.0,eps=0.1",0.00017783187117199187,-0.002280703017868795,-0.002468872070312489
armorm,dominant_complexity,Avg,rho=0.0,0.181542539601312,-0.13278892567224718,0.0018173217773437417
armorm,dominant_complexity,Avg,rho=0.1,0.18154253960131242,-0.13278892567224726,0.0018173217773437417
armorm,dominant_complexity,Avg,rho=0.2,0.18154253960131245,-0.1327889256722472,0.0018173217773437417
armorm,dominant_complexity,Avg,rho=0.5,0.10815204275057251,-0.07578648641877836,0.005386352539062472
armorm,dominant_complexity,MaxMin,c=0.0,0.10548500177153149,-0.07814213061496535,0.0034011840820312306
armorm,dominant_complexity,MaxMin,c=0.1,0.09708962471126285,-0.06581519322442045,0.005361938476562481
armorm,dominant_complexity,MaxMin,c=0.25,0.07981668716302659,-0.05410620036682781,-0.0037902832031250083
armorm,dominant_complexity,MaxMin,c=0.5,0.05300322291201624,-0.0359298675614996,0.004957580566406272
armorm,dominant_complexity,MaxMin,c=0.75,0.026467705949785956,-0.017941949888804598,0.0009597778320312583
armorm,dominant_complexity,MaxMin,c=0.9,0.010582582596211473,-0.007173729638510639,0.006451416015625003
armorm,dominant_complexity,MaxMin,c=0.95,0.00529069993570755,-0.0035864639460351567,0.004025268554687489
armorm,dominant_complexity,Fair,"alpha=0.0,eps=0.01",-0.003586107239407131,-0.010000000000000009,-0.0039993286132812556
armorm,dominant_complexity,Fair,"alpha=0.0,eps=0.02",-0.007172214478814249,-0.019999999999999987,0.0014038085937499861
armorm,dominant_complexity,Fair,"alpha=0.0,eps=0.05",-0.017930536197035704,-0.05000000000000002,0.0004882812500000139
armorm,dominant_complexity,Fair,"alpha=0.0,eps=0.1",-0.0358610723940714,-0.10000000000000002,0.007461547851562472
armorm,dominant_complexity,Fair,"alpha=0.5,eps=0.01",-6.787313283833368e-05,-0.0008913129357855758,0.0008148193359374944
armorm,dominant_complexity,Fair,"alpha=0.5,eps=0.02",-0.00013574639012217636,-0.0017826262552892837,-9.46044921875111e-05
armorm,dominant_complexity,Fair,"alpha=0.5,eps=0.05",-0.00033936590510883174,-0.004456565340760553,-0.0028533935546875
armorm,dominant_complexity,Fair,"alpha=0.5,eps=0.1",-0.0006787317646002579,-0.00891313106244635,-0.0007110595703125056
armorm,dominant_complexity,Fair,"alpha=1.0,eps=0.01",-3.276839234178483e-05,-0.0004526561954052796,0.0
armorm,dominant_complexity,Fair,"alpha=1.0,eps=0.02",-6.553674381106907e-05,-0.0009053127753206594,0.0008148193359374944
armorm,dominant_complexity,Fair,"alpha=1.0,eps=0.05",-0.0001638422585572894,-0.0022632817529074424,-0.0008148193359375222
armorm,dominant_complexity,Fair,"alpha=1.0,eps=0.1",-0.0003276837989159429,-0.004526564139737823,-0.0028747558593749944
armorm,dominant_complexity,Fair,"alpha=2.0,eps=0.01",-1.6084104101698237e-05,-0.0002280702931076215,0.0
armorm,dominant_complexity,Fair,"alpha=2.0,eps=0.02",-3.216825359200422e-05,-0.00045614055017957454,0.0
armorm,dominant_complexity,Fair,"alpha=2.0,eps=0.05",-8.042047326387985e-05,-0.0011403514309565217,0.0003295898437499917
armorm,dominant_complexity,Fair,"alpha=2.0,eps=0.1",-0.00016084103032917743,-0.0022807028652311154,-0.0008148193359375222
armorm,dominant_verbosity,Avg,rho=0.0,0.18041676365872603,-0.13892280919445948,-0.005717468261718761
armorm,dominant_verbosity,Avg,rho=0.1,0.18041676365872591,-0.13892280919445937,-0.005717468261718761
armorm,dominant_verbosity,Avg,rho=0.2,0.180416763658726,-0.13892280919445943,-0.005717468261718761
armorm,dominant_verbosity,Avg,rho=0.5,0.10477471531605802,-0.08127338813963661,-0.000674438476562525
armorm,dominant_verbosity,MaxMin,c=0.0,0.10431342710875062,-0.08589665469237537,-0.001368713378906261
armorm,dominant_verbosity,MaxMin,c=0.1,0.09769572199295863,-0.07148958417891361,0.004658508300781211
