evaluator,evaluator_role,p_name,method,params,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,selection_regret,baseline_regret,p_holm_within_rm,p_holm_global,holm_within_rm_improves,holm_global_improves,holm_global_harms
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=2.0,eps=0.05",0.5641748046875,0.563828125,-0.0003466796875,-0.0021240234375,0.0011279296874999998,False,0.6936,0.014379882812500022,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,balanced,Fair,"alpha=2.0,eps=0.1",0.5641748046875,0.565029296875,0.0008544921875,-0.0013378906249999999,0.003173828125,False,0.4626,0.013178710937500004,0.014033203125000004,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Avg,rho=0.0,0.5602508544921875,0.5608840942382812,0.00063323974609375,-0.01175689697265625,0.012890815734863278,False,0.9278,0.007615661621093839,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Avg,rho=0.1,0.5602508544921875,0.5608840942382812,0.00063323974609375,-0.01175689697265625,0.012890815734863278,False,0.9278,0.007615661621093839,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Avg,rho=0.2,0.5602508544921875,0.5608840942382812,0.00063323974609375,-0.01175689697265625,0.012890815734863278,False,0.9278,0.007615661621093839,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Avg,rho=0.5,0.5602508544921875,0.5605651855468751,0.0003143310546875,-0.012542800903320312,0.01325134277343749,False,0.9584,0.0079345703125,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.0,0.5602508544921875,0.5576705932617188,-0.00258026123046875,-0.01438751220703125,0.009551048278808585,False,0.6864,0.010829162597656317,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.1,0.5602508544921875,0.5614013671875,0.0011505126953125,-0.011227798461914061,0.013798522949218728,False,0.8606,0.007098388671875067,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.25,0.5602508544921875,0.560174560546875,-7.62939453125e-05,-0.012640457153320312,0.0126190185546875,False,0.9834,0.008325195312500089,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.5,0.5602508544921875,0.5608596801757812,0.00060882568359375,-0.011656570434570312,0.01266296386718748,False,0.9344,0.007640075683593817,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.75,0.5602508544921875,0.5561721801757812,-0.00407867431640625,-0.013951301574707031,0.006205825805664061,False,0.4272,0.012327575683593883,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.9,0.5602508544921875,0.5569335937500001,-0.0033172607421875,-0.010299720764160157,0.003590431213378906,False,0.3436,0.011566162109375,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,MaxMin,c=0.95,0.5602508544921875,0.5547760009765625,-0.005474853515625,-0.010841445922851562,-0.00037830352783203294,True,0.034,0.013723754882812522,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.0,eps=0.01",0.5602508544921875,0.5566833496093749,-0.0035675048828125,-0.012094192504882813,0.00511474609375,False,0.4056,0.011816406250000133,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.0,eps=0.02",0.5602508544921875,0.5559219360351563,-0.00432891845703125,-0.013951530456542969,0.005542068481445311,False,0.3704,0.012577819824218794,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.0,eps=0.05",0.5602508544921875,0.5601043701171875,-0.000146484375,-0.012670974731445312,0.012362747192382811,False,0.9702,0.008395385742187567,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.0,eps=0.1",0.5602508544921875,0.5645782470703125,0.004327392578125,-0.0069976806640625,0.01573196411132812,False,0.4606,0.003921508789062611,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.5,eps=0.01",0.5602508544921875,0.5599853515625,-0.0002655029296875,-0.0026185607910156248,0.00206298828125,False,0.8026,0.008514404296875111,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.5,eps=0.02",0.5602508544921875,0.5588714599609375,-0.00137939453125,-0.004348831176757812,0.0013946533203125,False,0.3312,0.009628295898437611,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.5,eps=0.05",0.5602508544921875,0.5584213256835938,-0.00182952880859375,-0.006640777587890625,0.002886962890625,False,0.4456,0.01007843017578125,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=0.5,eps=0.1",0.5602508544921875,0.5567245483398438,-0.00352630615234375,-0.00902099609375,0.0020355224609375,False,0.217,0.011775207519531317,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=1.0,eps=0.01",0.5602508544921875,0.5613250732421875,0.00107421875,0.0,0.0028594970703125,False,0.2612,0.007174682617187567,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=1.0,eps=0.02",0.5602508544921875,0.5601654052734375,-8.544921875e-05,-0.0023712158203125,0.0021331787109375,False,0.892,0.008334350585937567,0.008248901367187589,1.0,1.0,False,False,False
armorm,primary post-hoc evaluator,dominant_helpfulness,Fair,"alpha=1.0,eps=0.05",0.5602508544921875,0.559368896484375,-0.0008819580078125,-0.003964309692382813,0.0020845031738281226,False,0.5742,0.009130859375000022,0.008248901367187589,1.0,1.0,False,False,False
