evaluator,evaluator_role,p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,U_p(p)_0_4,U_p(lambda)_0_4,Delta U_p_percent,note
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.02",OK,"[0.200497, 0.200458, 0.200118, 0.199831, 0.199097]",0.0011462783224342244,0.0011636248063363165,1.425037396967203e-05,-0.0009053127790744035,0.5641748046875,0.5637841796875,-0.0003906249999999778,2.3208740234375003,2.3189208984375003,-0.08415471844987008,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.05",OK,"[0.201241, 0.201144, 0.200294, 0.199578, 0.197742]",0.0028656958035399595,0.0029090620144738267,3.562593491825623e-05,-0.0022632819396876318,0.5641748046875,0.565029296875,0.0008544921875,2.3208740234375003,2.3251464843750003,0.1840884466090908,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=1.0,eps=0.1",OK,"[0.202483, 0.202288, 0.200588, 0.199156, 0.195485]",0.005731391877228732,0.005818124318080539,7.125187358588287e-05,-0.004526564139737823,0.5641748046875,0.5646337890625,0.0004589843749999156,2.3208740234375003,2.3231689453124997,0.09888179417857437,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.01",OK,"[0.200124, 0.200115, 0.20003, 0.199959, 0.199772]",0.00028799757303616703,0.00029232900971226075,3.5800426897776196e-06,-0.00022807029259921268,0.5641748046875,0.5648242187500001,0.0006494140625000755,2.3208740234375003,2.3241210937500005,0.13990721942292048,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.02",OK,"[0.200248, 0.200229, 0.20006, 0.199917, 0.199545]",0.0005759951438008033,0.0005846580168137458,7.1600853444600715e-06,-0.0004561405844476063,0.5641748046875,0.5648242187500001,0.0006494140625000755,2.3208740234375003,2.3241210937500005,0.13990721942292048,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.05",OK,"[0.200621, 0.200573, 0.200151, 0.199793, 0.198862]",0.0014399878551747938,0.0014616450376451946,1.7900213307939286e-05,-0.0011403514587175908,0.5641748046875,0.563828125,-0.00034667968750001776,2.3208740234375003,2.319140625,-0.07468731262426352,
armorm,primary post-hoc evaluator,balanced,"[0.2, 0.2, 0.2, 0.2, 0.2]",Fair,"alpha=2.0,eps=0.1",OK,"[0.201242, 0.201146, 0.200302, 0.199587, 0.197724]",0.0028799757306579962,0.002923290095828004,3.580042686942701e-05,-0.002280702939562238,0.5641748046875,0.565029296875,0.0008544921875,2.3208740234375003,2.3251464843750003,0.1840884466090908,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.0,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5590169943749475,0.5468978377495407,0.18275041504236192,-0.1294396594089945,0.5602508544921875,0.5608840942382812,0.00063323974609375,2.3012542724609375,2.3044204711914062,0.13758578390743625,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.1,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5590169943749469,0.5468978377495401,0.18275041504236164,-0.12943965940899432,0.5602508544921875,0.5608840942382812,0.00063323974609375,2.3012542724609375,2.3044204711914062,0.13758578390743625,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.2,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5590169943749475,0.5468978377495407,0.1827504150423619,-0.1294396594089945,0.5602508544921875,0.5608840942382812,0.00063323974609375,2.3012542724609375,2.3044204711914062,0.13758578390743625,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.805111, 0.054765, 0.051612, 0.047995, 0.040518]",0.3412891319397343,0.3343286950092715,0.1117756723650227,-0.08718170005441661,0.5602508544921875,0.5605651855468751,0.0003143310546875888,2.3012542724609375,2.3028259277343754,0.06829559393961417,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.792401, 0.067238, 0.060881, 0.043787, 0.035693]",0.32789799124819113,0.3219951811489695,0.10751709266459886,-0.09220892767529637,0.5602508544921875,0.5576705932617188,-0.002580261230468728,2.3012542724609375,2.2883529663085938,-0.5606206279216258,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.1,OK,"[0.781233, 0.056051, 0.049513, 0.056192, 0.05701]",0.31448610243784536,0.3075293916597016,0.10271559955000191,-0.07041555225314942,0.5602508544921875,0.5614013671875,0.0011505126953125222,2.3012542724609375,2.3070068359375,0.24997513509929384,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.25,OK,"[0.728471, 0.061052, 0.063752, 0.073079, 0.073646]",0.25568116461742313,0.24964602083911286,0.0832290328897618,-0.05316256600573972,0.5602508544921875,0.560174560546875,-7.62939453125e-05,2.3012542724609375,2.300872802734375,-0.016576600470775454,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.64968, 0.083105, 0.084874, 0.090985, 0.091356]",0.16750613471847564,0.16355229006086205,0.05452640055274079,-0.03482875227301945,0.5602508544921875,0.5608596801757812,0.0006088256835937722,2.3012542724609375,2.3042984008789062,0.1322812717567881,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.75,OK,"[0.574441, 0.104164, 0.105044, 0.108083, 0.108267]",0.08330696522133503,0.0813405727668977,0.027117985631547995,-0.01732162024505784,0.5602508544921875,0.5561721801757812,-0.004078674316406294,2.3012542724609375,2.280860900878906,-0.886185061167675,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.9,OK,"[0.529724, 0.11668, 0.117032, 0.118245, 0.118319]",0.033264446128751894,0.032479266213785274,0.010828203497321455,-0.0069165177482286505,0.5602508544921875,0.5569335937500001,-0.003317260742187411,2.3012542724609375,2.2846679687500004,-0.7207505884692974,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.95,OK,"[0.514855, 0.120842, 0.121018, 0.121624, 0.121661]",0.016624584854061434,0.016232175190255712,0.005411615367395858,-0.003456670697446897,0.5602508544921875,0.5547760009765625,-0.005474853515624933,2.3012542724609375,2.2738800048828125,-1.1895368497828465,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=1.0,OK,"[0.5, 0.125, 0.125, 0.125, 0.125]",0.0,0.0,0.0,0.0,0.5602508544921875,0.5602508544921875,0.0,2.3012542724609375,2.3012542724609375,0.0,same merge point as baseline
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.01",OK,"[0.542976, 0.112971, 0.113479, 0.115234, 0.11534]",0.048094210612373116,0.046958986293505825,0.015655571042371422,-0.010000000000000009,0.5602508544921875,0.5566833496093749,-0.0035675048828125444,2.3012542724609375,2.2834167480468746,-0.7751218380134794,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.585952, 0.100942, 0.101958, 0.105467, 0.10568]",0.09618842122474631,0.09391797258701175,0.03131114208474293,-0.019999999999999993,0.5602508544921875,0.5559219360351563,-0.004328918457031206,2.3012542724609375,2.2796096801757812,-0.9405563107117992,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.71488, 0.064856, 0.067396, 0.076168, 0.076701]",0.24047105306186564,0.23479493146752925,0.0782778552118572,-0.05000000000000002,0.5602508544921875,0.5601043701171875,-0.0001464843749999778,2.3012542724609375,2.3005218505859375,-0.03182707290388887,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.92976, 0.004712, 0.009792, 0.027335, 0.028401]",0.48094210612373123,0.4695898629350584,0.15655571042371436,-0.10000000000000002,0.5602508544921875,0.5645782470703125,0.004327392578124978,2.3012542724609375,2.3228912353515625,0.9402247787023837,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.01",OK,"[0.500496, 0.125457, 0.125111, 0.124825, 0.124111]",0.0011347951053275575,0.001152168573046627,0.00020525586931321145,-0.0008913129357855754,0.5602508544921875,0.5599853515625,-0.0002655029296875222,2.3012542724609375,2.2999267578125,-0.05768656963829858,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.02",OK,"[0.500993, 0.125913, 0.125222, 0.124649, 0.123223]",0.0022695907900238677,0.0023043377393209075,0.0004105118777101269,-0.0017826262116739367,0.5602508544921875,0.5588714599609375,-0.0013793945312500222,2.3012542724609375,2.2943572998046875,-0.2997049365116202,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.05",OK,"[0.502482, 0.127283, 0.125556, 0.124123, 0.120556]",0.005673976812202587,0.005760844175517986,0.0010262796999407245,-0.004456565340760551,0.5602508544921875,0.5584213256835938,-0.0018295288085936612,2.3012542724609375,2.292106628417969,-0.39750687928917605,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.1",OK,"[0.504964, 0.129566, 0.126112, 0.123246, 0.116113]",0.01134795392426309,0.011521688654405024,0.0020525593786091287,-0.008913131062446351,0.5602508544921875,0.5567245483398438,-0.003526306152343728,2.3012542724609375,2.2836227416992188,-0.7661704737592414,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.01",OK,"[0.500248, 0.125229, 0.125059, 0.124916, 0.124548]",0.0005731390632907806,0.0005818123019413797,0.00010278890130790894,-0.0004526563087064838,0.5602508544921875,0.5613250732421875,0.0010742187500000222,2.3012542724609375,2.3066253662109375,0.2333985346285184,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.500497, 0.125458, 0.125118, 0.124831, 0.124097]",0.0011462783024365753,0.00116362479019427,0.00020557777083076277,-0.0009053127460339175,0.5602508544921875,0.5601654052734375,-8.54492187499778e-05,2.3012542724609375,2.3008270263671875,-0.018565792527268508,
armorm,primary post-hoc evaluator,dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.501241, 0.126144, 0.125294, 0.124578, 0.122742]",0.0028656957978457948,0.0029090620071146895,0.0005139444935148175,-0.0022632819323109656,0.5602508544921875,0.559368896484375,-0.0008819580078124334,2.3012542724609375,2.296844482421875,-0.19162550144216425,
