p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
dominant_coherence,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
dominant_coherence,Fair,"alpha=1.0,eps=0.1","Fair(alpha=1.0,eps=0.1)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
dominant_coherence,Fair,"alpha=2.0,eps=0.02","Fair(alpha=2.0,eps=0.02)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
dominant_coherence,Fair,"alpha=2.0,eps=0.05","Fair(alpha=2.0,eps=0.05)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
dominant_coherence,Fair,"alpha=2.0,eps=0.1","Fair(alpha=2.0,eps=0.1)",0.5940582275390626,0.5940582275390626,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.015031433105468617,0.015031433105468617
dominant_complexity,Avg,rho=0.5,Avg(rho=0.5),0.5288772583007812,0.5246856689453125,-0.00419158935546875,-0.013858184814453126,0.005310096740722655,False,0.3842,1.0,False,False,False,0.020051574707031117,0.01585998535156241
dominant_complexity,MaxMin,c=0.0,MaxMin(c=0.0),0.5288772583007812,0.5227005004882812,-0.0061767578125,-0.014285354614257813,0.0015747833251953114,False,0.1234,1.0,False,False,False,0.022036743164062456,0.01585998535156241
dominant_complexity,MaxMin,c=0.25,MaxMin(c=0.25),0.5288772583007812,0.5250076293945313,-0.00386962890625,-0.011664276123046874,0.0034851837158203116,False,0.3182,1.0,False,False,False,0.01972961425781239,0.01585998535156241
dominant_complexity,MaxMin,c=0.5,MaxMin(c=0.5),0.5288772583007812,0.5296157836914063,0.000738525390625,-0.006518783569335937,0.00798042297363281,False,0.8496,1.0,False,False,False,0.015121459960937389,0.01585998535156241
dominant_complexity,MaxMin,c=0.75,MaxMin(c=0.75),0.5288772583007812,0.5297988891601563,0.000921630859375,-0.002935791015625,0.004730224609375,False,0.6332,1.0,False,False,False,0.014938354492187389,0.01585998535156241
dominant_complexity,MaxMin,c=0.9,MaxMin(c=0.9),0.5288772583007812,0.5296981811523438,0.0008209228515625,-0.00224609375,0.003887939453125,False,0.5846,1.0,False,False,False,0.015039062499999867,0.01585998535156241
dominant_complexity,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.5288772583007812,0.5318130493164063,0.002935791015625,-0.004074172973632812,0.009991455078125,False,0.408,1.0,False,False,False,0.012924194335937389,0.01585998535156241
dominant_complexity,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.5288772583007812,0.5301635742187499,0.00128631591796875,-0.006362991333007812,0.00916900634765625,False,0.7546,1.0,False,False,False,0.014573669433593728,0.01585998535156241
dominant_complexity,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.5288772583007812,0.5317047119140624,0.00282745361328125,-0.006274566650390625,0.011813392639160156,False,0.5474,1.0,False,False,False,0.013032531738281228,0.01585998535156241
dominant_complexity,Fair,"alpha=1.0,eps=0.02","Fair(alpha=1.0,eps=0.02)",0.5288772583007812,0.5288772583007812,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.01585998535156241,0.01585998535156241
dominant_complexity,Fair,"alpha=1.0,eps=0.05","Fair(alpha=1.0,eps=0.05)",0.5288772583007812,0.5288772583007812,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.01585998535156241,0.01585998535156241
dominant_complexity,Fair,"alpha=1.0,eps=0.1","Fair(alpha=1.0,eps=0.1)",0.5288772583007812,0.5289749145507813,9.765625e-05,0.0,0.00029296875,False,0.7382,1.0,False,False,False,0.01576232910156239,0.01585998535156241
dominant_complexity,Fair,"alpha=2.0,eps=0.02","Fair(alpha=2.0,eps=0.02)",0.5288772583007812,0.5288772583007812,0.0,0.0,0.0,False,1.0,1.0,False,False,False,0.01585998535156241,0.01585998535156241
