p_name,p,method,params,status,lambda,dist_l2,dist_R,U_p(p),U_p(lambda),Delta U_p,note
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.02",OK,"[0.5005, 0.1247, 0.1249, 0.1253, 0.1247]",0.0007207128419183849,0.0006495381960899322,0.5589920043945312,0.5589920043945312,0.0,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.05",OK,"[0.5012, 0.1241, 0.1248, 0.1257, 0.1242]",0.0018017820216755986,0.001623845412430643,0.5589920043945312,0.5595016479492189,0.0005096435546876332,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.1",OK,"[0.5023, 0.1233, 0.1246, 0.1264, 0.1234]",0.0036035641853987923,0.003247690951771568,0.5589920043945312,0.5595016479492189,0.0005096435546876332,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.0573, 0.7943, 0.0489, 0.0547, 0.0449]",0.3291348380466813,0.29859537118267304,0.5620620727539062,0.5691452026367188,0.007083129882812567,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.5, 0.125, 0.125, 0.125]",0.0,0.0,0.5620620727539062,0.5620620727539062,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.0671, 0.7423, 0.0668, 0.0644, 0.0594]",0.2709481313456507,0.24591261962333674,0.5620620727539062,0.5675765991210937,0.005514526367187522,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.25,OK,"[0.081, 0.6822, 0.0762, 0.0815, 0.0792]",0.20372578828273388,0.18481652021959138,0.5620620727539062,0.5639999389648438,0.001937866210937611,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.0957, 0.6213, 0.0925, 0.096, 0.0945]",0.13567630131284633,0.12308319970815501,0.5620620727539062,0.5634689331054688,0.0014068603515625666,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.75,OK,"[0.1103, 0.5606, 0.1087, 0.1105, 0.1098]",0.06781480381986679,0.061520420006759904,0.5620620727539062,0.5607894897460938,-0.0012725830078124112,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.9,OK,"[0.1191, 0.5243, 0.1185, 0.1192, 0.1189]",0.027122812502794448,0.024605347548726286,0.5620620727539062,0.5601181030273437,-0.0019439697265625222,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=1.0,OK,"[0.125, 0.5, 0.125, 0.125, 0.125]",0.0,0.0,0.5620620727539062,0.5620620727539062,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.2292, 0.4756, 0.0988, 0.0982, 0.0981]",0.11653812337110381,0.10400300251814021,0.5620620727539062,0.5593307495117188,-0.002731323242187389,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.3855, 0.4391, 0.0596, 0.0581, 0.0576]",0.2913453084277595,0.2600075062953506,0.5620620727539062,0.5621932983398438,0.00013122558593758882,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.6218, 0.3782, 0.0, 0.0, 0.0]",0.5554547751640408,0.49582038532553263,0.5620620727539062,0.5672149658203125,0.005152893066406317,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.1259, 0.4993, 0.1248, 0.1256, 0.1244]",0.0014442341890764094,0.0013015246563265253,0.5620620727539062,0.5620620727539062,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.1273, 0.4983, 0.1246, 0.1264, 0.1234]",0.0036105868409056015,0.0032538128764082117,0.5620620727539062,0.5620620727539062,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.1",OK,"[0.1296, 0.4966, 0.1242, 0.1278, 0.1218]",0.007221173602814281,0.006507625679177812,0.5620620727539062,0.5601181030273437,-0.0019439697265625222,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.02",OK,"[0.1255, 0.4997, 0.1249, 0.1253, 0.1247]",0.0007207128483694849,0.0006495382021439206,0.5620620727539062,0.5620620727539062,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.05",OK,"[0.1262, 0.4991, 0.1248, 0.1257, 0.1242]",0.0018017822062304108,0.001623845581123464,0.5620620727539062,0.5620620727539062,0.0,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.1",OK,"[0.1273, 0.4983, 0.1246, 0.1264, 0.1234]",0.003603564362991657,0.0032476911179497195,0.5620620727539062,0.5620620727539062,0.0,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.0573, 0.0443, 0.7989, 0.0547, 0.0449]",0.33440231546899346,0.3017447118254008,0.5940582275390626,0.6041152954101562,0.010057067871093617,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.125, 0.5, 0.125, 0.125]",0.0,0.0,0.5940582275390626,0.5940582275390626,0.0,"certificate: lambda = p, Delta = 0 by construction"
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.0713, 0.0628, 0.7433, 0.0699, 0.0527]",0.27240196493642255,0.2460253815328093,0.5940582275390626,0.6034744262695313,0.009416198730468728,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=0.25,OK,"[0.0775, 0.0759, 0.6855, 0.077, 0.0841]",0.20751612885965404,0.18699792355838024,0.5940582275390626,0.5954345703125,0.0013763427734374556,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.0935, 0.0925, 0.6228, 0.0932, 0.0979]",0.13740548759795013,0.12381948818889642,0.5940582275390626,0.595556640625,0.0014984130859374556,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=0.75,OK,"[0.1093, 0.1088, 0.5613, 0.1091, 0.1115]",0.06855210789036106,0.061774002346185374,0.5940582275390626,0.5950225830078125,0.0009643554687499556,
dominant_coherence,"[0.125, 0.125, 0.5, 0.125, 0.125]",MaxMin,c=0.9,OK,"[0.1187, 0.1185, 0.5245, 0.1187, 0.1196]",0.027400917656611203,0.024691645577321966,0.5940582275390626,0.5943206787109374,0.00026245117187484457,
