p_name,p_helpfulness,p_correctness,p_coherence,p_complexity,p_verbosity,method,params,status,lam_helpfulness,lam_correctness,lam_coherence,lam_complexity,lam_verbosity,dist_l2,dist_R,proxy_pRlam,min_delta,moved,usable,t_star,t_star_lp,u_alpha
dirichlet_13,0.29988182668227864,0.13653559614210137,0.33130210717416203,0.19429198447004775,0.03798848553141006,Fair,"alpha=2.0,eps=0.01",OK,0.30005019268289745,0.13664952724598403,0.3313229343526743,0.19423395886098035,0.037743386857463916,0.0003243478213875924,0.0003285952065488583,0.2826200076055833,-0.0002457210375497173,True,True,,,-499.8872199961882
dirichlet_13,0.29988182668227864,0.13653559614210137,0.33130210717416203,0.19429198447004775,0.03798848553141006,Fair,"alpha=2.0,eps=0.02",OK,0.30021855867189595,0.13676345835454365,0.33134376153711825,0.19417593325222773,0.03749828818421444,0.0006486956381841512,0.0006571904087225944,0.28267857929293533,-0.000491442074454026,True,True,,,-249.9436099980941
dirichlet_13,0.29988182668227864,0.13653559614210137,0.33130210717416203,0.19429198447004775,0.03798848553141006,Fair,"alpha=2.0,eps=0.05",OK,0.30072365653937233,0.13710525170011273,0.33140624315553446,0.19400185642110127,0.036762992183879295,0.001621739034281307,0.0016429759630232248,0.2828542943488126,-0.0012286051665663519,True,True,,,-99.97744399923764
dirichlet_13,0.29988182668227864,0.13653559614210137,0.33130210717416203,0.19429198447004775,0.03798848553141006,Fair,"alpha=2.0,eps=0.1",OK,0.3015654866414235,0.13767490720017894,0.33151037898209273,0.1937117283896322,0.03553749878667264,0.003243478199834565,0.003285952052107771,0.28314715279680724,-0.002457210380621641,True,True,,,-49.98872199961882
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,Avg,rho=0.0,OK,1.9860273225978174e-16,0.0,1.7600201056413505e-16,1.572636512323161e-16,0.9999999999999994,0.7569622186778238,0.7575812108931138,0.33673748555295957,-0.25532595301959965,True,True,,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,Avg,rho=0.1,OK,1.0395611766722953e-16,0.2666317153115291,3.2207200312278745e-17,0.0,0.7333682846884707,0.47890123786617916,0.47508540980359104,0.3160778204041572,-0.1775553510894511,True,True,,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,Avg,rho=0.2,OK,0.09185532414240805,0.3153109039743998,4.654022528688753e-18,0.0,0.5928337718831921,0.3415687502462889,0.33645320233855786,0.2997546952939859,-0.1424069950317276,True,True,,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,Avg,rho=0.5,OK,0.15579101507716128,0.2837779286627357,0.013976195229322403,0.09984446489723352,0.44661039613354714,0.16568347966865116,0.16366674412107676,0.2741910631527239,-0.09219424840063105,True,True,,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,Cert,,FLOOR_COLLAPSED,0.17452451335503216,0.23948187606790475,0.10634765284387881,0.15121539363728914,0.3284305640958951,9.205483015737869e-17,9.570510296446561e-17,0.24740426220419678,3.181500660324501e-17,False,True,3.181500660324501e-17,-0.0,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,MaxMin,c=0.0,OK_EXACT_D0,0.15514011802759584,0.2792553252446415,0.015290797315246964,0.10462584620448444,0.4456879132080313,0.16176805874827666,0.15998800593681653,0.27357316703538265,-0.09103083324264448,True,True,-0.09103083324264448,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,MaxMin,c=0.1,OK,0.15163784655666826,0.275718121497457,0.02981181020621334,0.10095452552742515,0.44187769621223627,0.1519572533866261,0.15017575310938885,0.27190240110806657,-0.07690666894883307,True,True,-0.07690666894883307,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,MaxMin,c=0.25,OK,0.1463844387542071,0.27041231667681587,0.0515933295405447,0.09544754437078674,0.43616237065764557,0.13950909300858197,0.1376499369587804,0.26939625226009456,-0.05572042250814265,True,True,-0.05572042250814265,,
dirichlet_14,0.17452451335503213,0.2394818760679047,0.10634765284387879,0.1512153936372891,0.32843056409589505,MaxMin,c=0.5,OK,0.1458089294139406,0.24636428939333183,0.078419481366266,0.1191490642074133,0.41025823561904823,0.09682950194206934,0.09604440511139285,0.26186653685018985,-0.02959024459011127,True,True,-0.02959024459011127,,
