p_name,method,params,label,U_p_baseline,U_p_lambda,delta_u_p,ci_low,ci_high,excludes_zero,p_value,p_holm,holm_improves,holm_harms,significant,selection_regret,baseline_regret
dominant_correctness,MaxMin,c=0.75,MaxMin(c=0.75),0.5563232421875001,0.5495040893554687,-0.00681915283203125,-0.019765052795410156,0.005952568054199217,False,0.2922,1.0,False,False,False,0.017178344726562544,0.010359191894531161
dominant_correctness,MaxMin,c=0.9,MaxMin(c=0.9),0.5563232421875001,0.5501632690429688,-0.00615997314453125,-0.015756340026855466,0.0028046417236328117,False,0.1874,1.0,False,False,False,0.016519165039062478,0.010359191894531161
dominant_correctness,MaxMin,c=0.95,MaxMin(c=0.95),0.5563232421875001,0.5564041137695312,8.087158203125e-05,-0.007566871643066406,0.007875251770019529,False,0.9994,1.0,False,False,False,0.010278320312499978,0.010359191894531161
dominant_correctness,Fair,"alpha=0.0,eps=0.01","Fair(alpha=0.0,eps=0.01)",0.5563232421875001,0.55975341796875,0.00343017578125,-0.004562606811523437,0.011297645568847655,False,0.398,1.0,False,False,False,0.006929016113281228,0.010359191894531161
dominant_correctness,Fair,"alpha=0.0,eps=0.02","Fair(alpha=0.0,eps=0.02)",0.5563232421875001,0.5541305541992188,-0.00219268798828125,-0.01424266815185547,0.01019134521484375,False,0.7116,1.0,False,False,False,0.012551879882812478,0.010359191894531161
dominant_correctness,Fair,"alpha=0.0,eps=0.05","Fair(alpha=0.0,eps=0.05)",0.5563232421875001,0.55926513671875,0.00294189453125,-0.011877517700195312,0.017764320373535158,False,0.7074,1.0,False,False,False,0.007417297363281228,0.010359191894531161
dominant_correctness,Fair,"alpha=0.0,eps=0.1","Fair(alpha=0.0,eps=0.1)",0.5563232421875001,0.54488525390625,-0.01143798828125,-0.02778339385986328,0.003821449279785147,False,0.1398,1.0,False,False,False,0.02179718017578125,0.010359191894531161
dominant_correctness,Fair,"alpha=0.5,eps=0.01","Fair(alpha=0.5,eps=0.01)",0.5563232421875001,0.555706787109375,-0.000616455078125,-0.0031494140625,0.001300048828125,False,0.7842,1.0,False,False,False,0.010975646972656183,0.010359191894531161
dominant_correctness,Fair,"alpha=0.5,eps=0.02","Fair(alpha=0.5,eps=0.02)",0.5563232421875001,0.5551239013671875,-0.0011993408203125,-0.0038818359375,0.00086669921875,False,0.374,1.0,False,False,False,0.01155853271484375,0.010359191894531161
dominant_correctness,Fair,"alpha=0.5,eps=0.05","Fair(alpha=0.5,eps=0.05)",0.5563232421875001,0.5569931030273438,0.00066986083984375,-0.00496295928955078,0.00619659423828125,False,0.8192,1.0,False,False,False,0.009689331054687389,0.010359191894531161
