p_name,p,method,params,status,lambda,dist_l2,dist_R,proxy_delta_p,proxy_min_delta,U_p(p),U_p(lambda),Delta U_p,note
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.2,OK,"[1.0, 0.0, 0.0, 0.0, 0.0]",0.5590169943749475,0.5468534772585077,0.1836887765324477,-0.12687531661423956,0.5528228759765625,0.5382919311523438,-0.014530944824218794,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.806742, 0.054814, 0.051281, 0.047414, 0.039749]",0.3431303884505011,0.3360896653610773,0.11295626053479195,-0.08641019208898032,0.5528228759765625,0.5454208374023437,-0.007402038574218839,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.5, 0.125, 0.125, 0.125, 0.125]",0.0,0.0,0.0,0.0,0.5528228759765625,0.5528228759765625,0.0,same merge point as baseline
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.793902, 0.066927, 0.059805, 0.043519, 0.035847]",0.32952796824050007,0.3234406895879557,0.10858868185271206,-0.09051012988993744,0.5528228759765625,0.5504959106445313,-0.00232696533203125,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.1,OK,"[0.782655, 0.055567, 0.04824, 0.056726, 0.056812]",0.316097648624125,0.3090612408032297,0.10375158788411376,-0.06915118215776397,0.5528228759765625,0.546685791015625,-0.006137084960937567,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.25,OK,"[0.728753, 0.061243, 0.064205, 0.072906, 0.072894]",0.2559640267003882,0.24996823209891486,0.08378704115939949,-0.05278876137690385,0.5528228759765625,0.54114990234375,-0.0116729736328125,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.650127, 0.083157, 0.085101, 0.090812, 0.090803]",0.16798557158272628,0.16405061636185034,0.05498825042654241,-0.03464451769788447,0.5528228759765625,0.5452667236328125,-0.007556152343750067,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.75,OK,"[0.574701, 0.10418, 0.105147, 0.107988, 0.107984]",0.08358679101724771,0.08162882357629038,0.02736122723816189,-0.01723852848445582,0.5528228759765625,0.5509765625,-0.0018463134765625,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.9,OK,"[0.529833, 0.116685, 0.117071, 0.118206, 0.118205]",0.033381526301904225,0.03259958526991625,0.010927079692706567,-0.006884441728254106,0.5528228759765625,0.549505615234375,-0.003317260742187522,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=0.95,OK,"[0.51491, 0.120844, 0.121037, 0.121605, 0.121604]",0.01668379602283728,0.01629298870739018,0.005461259232715355,-0.003440783997906893,0.5528228759765625,0.5518692016601563,-0.00095367431640625,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",MaxMin,c=1.0,OK,"[0.5, 0.125, 0.125, 0.125, 0.125]",0.0,0.0,0.0,0.0,0.5528228759765625,0.5528228759765625,0.0,same merge point as baseline
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.01",OK,"[0.543334, 0.112922, 0.113483, 0.115132, 0.115129]",0.04848835623795838,0.047352547318581725,0.015872136222551812,-0.009999999999999986,0.5528228759765625,0.5504104614257812,-0.002412414550781339,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.586667, 0.100844, 0.101967, 0.105263, 0.105259]",0.09697671247591659,0.09470509463716327,0.0317442724451035,-0.02000000000000001,0.5528228759765625,0.54864501953125,-0.004177856445312544,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.05",OK,"[0.716668, 0.064611, 0.067417, 0.075658, 0.075646]",0.24244178118979157,0.23676273659290825,0.07936068111275879,-0.05000000000000001,0.5528228759765625,0.5401062011718749,-0.012716674804687633,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.1",OK,"[0.933336, 0.004222, 0.009833, 0.026317, 0.026293]",0.48488356237958313,0.4735254731858165,0.1587213622255176,-0.10000000000000002,0.5528228759765625,0.5447219848632813,-0.008100891113281272,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.01",OK,"[0.500678, 0.125451, 0.12507, 0.124756, 0.124044]",0.001281784869554313,0.0012985549058970051,0.00027370591097275313,-0.0009594215481068963,0.5528228759765625,0.553057861328125,0.00023498535156241118,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.02",OK,"[0.501357, 0.125902, 0.125141, 0.124513, 0.123087]",0.002563569417225859,0.0025971094967206197,0.0005474116959813134,-0.0019188429714028339,0.5528228759765625,0.5534545898437501,0.0006317138671875222,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.05",OK,"[0.503392, 0.127256, 0.125352, 0.123782, 0.120218]",0.00640892272086311,0.00649277286534788,0.0013685291304947325,-0.004797106719729129,0.5528228759765625,0.5502426147460938,-0.002580261230468728,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=0.5,eps=0.1",OK,"[0.506784, 0.129512, 0.125705, 0.122564, 0.115435]",0.012817845238248997,0.012985545516429803,0.002737058300882532,-0.009594213134500975,0.5528228759765625,0.550140380859375,-0.0026824951171875444,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.01",OK,"[0.500338, 0.125227, 0.12504, 0.124882, 0.124514]",0.0006461121240485129,0.0006545731993353499,0.0001364141726985476,-0.00048755023539801115,0.5528228759765625,0.553057861328125,0.00023498535156241118,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.02",OK,"[0.500675, 0.125454, 0.125079, 0.124764, 0.124028]",0.001292224395899564,0.0013091465591646447,0.0002728283139925614,-0.0009751005926737178,0.5528228759765625,0.553057861328125,0.00023498535156241118,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.05",OK,"[0.501688, 0.126136, 0.125198, 0.12441, 0.122569]",0.003230560862421754,0.0032728662651327766,0.0006820707485424261,-0.002437751451583361,0.5528228759765625,0.5534545898437501,0.0006317138671875222,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=1.0,eps=0.1",OK,"[0.503376, 0.127271, 0.125395, 0.12382, 0.120138]",0.006461121925909661,0.006545732696576574,0.0013641415408334012,-0.004875503477793886,0.5528228759765625,0.5503067016601563,-0.002516174316406272,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.01",OK,"[0.500168, 0.125114, 0.125021, 0.124942, 0.124755]",0.00032434782155122793,0.00032859520680456435,6.808821968761627e-05,-0.0002457210379114311,0.5528228759765625,0.5528228759765625,0.0,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.02",OK,"[0.500337, 0.125228, 0.125042, 0.124884, 0.12451]",0.0006486956433743831,0.0006571904137005324,0.00013617644235198794,-0.0004914420695712248,0.5528228759765625,0.553057861328125,0.00023498535156241118,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.05",OK,"[0.500842, 0.12557, 0.125104, 0.12471, 0.123775]",0.0016217390957187529,0.0016429760210746325,0.0003404411015376467,-0.0012286051758757521,0.5528228759765625,0.553057861328125,0.00023498535156241118,
dominant_helpfulness,"[0.5, 0.125, 0.125, 0.125, 0.125]",Fair,"alpha=2.0,eps=0.1",OK,"[0.501684, 0.126139, 0.125208, 0.12442, 0.122549]",0.003243478171194274,0.0032859520230478167,0.0006808821927274375,-0.0024572103385889317,0.5528228759765625,0.5534545898437501,0.0006317138671875222,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Avg,rho=0.0,OK,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.5590169943749465,0.548125677096667,0.1834101700718554,-0.12900303592254694,0.5563232421875001,0.5555206298828125,-0.0008026123046875888,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Avg,rho=0.1,OK,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.5590169943749472,0.5481256770966678,0.18341017007185564,-0.12900303592254705,0.5563232421875001,0.5555206298828125,-0.0008026123046875888,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Avg,rho=0.2,OK,"[0.0, 1.0, 0.0, 0.0, 0.0]",0.5590169943749475,0.548125677096668,0.18341017007185573,-0.12900303592254705,0.5563232421875001,0.5555206298828125,-0.0008026123046875888,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Avg,rho=0.5,OK,"[0.056742, 0.804814, 0.051281, 0.047414, 0.039749]",0.3410172710228502,0.33484391602642066,0.11212044331259376,-0.08768690551066904,0.5563232421875001,0.5453994750976563,-0.010923767089843772,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Cert,,FLOOR_COLLAPSED,"[0.125, 0.5, 0.125, 0.125, 0.125]",0.0,0.0,0.0,0.0,0.5563232421875001,0.5563232421875001,0.0,same merge point as baseline
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.0,OK_EXACT_D0,"[0.06871, 0.793456, 0.057688, 0.044907, 0.035239]",0.32907144682202794,0.3236966132213309,0.10828801711354273,-0.09225074593032508,0.5563232421875001,0.5508697509765625,-0.005453491210937522,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.1,OK,"[0.056859, 0.781487, 0.048019, 0.055803, 0.057831]",0.3148082799384993,0.3085855580034677,0.10319297741486504,-0.06936242185044249,0.5563232421875001,0.555316162109375,-0.001007080078125111,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.25,OK,"[0.061074, 0.728242, 0.065762, 0.071648, 0.073274]",0.2553661318714823,0.2500190254900804,0.0834808216182662,-0.053456353698607885,0.5563232421875001,0.5661590576171875,0.009835815429687478,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.5,OK,"[0.083033, 0.64984, 0.086111, 0.089975, 0.091042]",0.1676470121622575,0.16413665469243097,0.05480488040675701,-0.0350939175566581,0.5563232421875001,0.5608062744140625,0.004483032226562433,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.75,OK,"[0.104116, 0.574565, 0.105647, 0.10757, 0.108102]",0.08342598057059185,0.08167912561447642,0.027272486571741316,-0.017463743889417432,0.5563232421875001,0.5495040893554687,-0.006819152832031383,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.9,OK,"[0.116659, 0.529779, 0.117271, 0.118039, 0.118251]",0.03331829439983367,0.03262064329278539,0.010891963515417174,-0.006974591802832461,0.5563232421875001,0.5501632690429688,-0.006159973144531317,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=0.95,OK,"[0.120831, 0.514884, 0.121137, 0.121521, 0.121627]",0.016652322568373786,0.016303639915674472,0.005443750742012503,-0.003485867286294499,0.5563232421875001,0.5564041137695312,8.087158203118339e-05,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",MaxMin,c=1.0,OK,"[0.125, 0.5, 0.125, 0.125, 0.125]",0.0,0.0,0.0,0.0,0.5563232421875001,0.5563232421875001,0.0,same merge point as baseline
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.01",OK,"[0.168334, 0.487922, 0.113483, 0.115132, 0.115129]",0.04848835623795832,0.04735254731858167,-0.003531965944362032,-0.009999999999999988,0.5563232421875001,0.55975341796875,0.0034301757812499334,
dominant_correctness,"[0.125, 0.5, 0.125, 0.125, 0.125]",Fair,"alpha=0.0,eps=0.02",OK,"[0.211667, 0.475844, 0.101967, 0.105263, 0.105259]",0.09697671247591663,0.09470509463716331,-0.007063931888724114,-0.020000000000000004,0.5563232421875001,0.5541305541992188,-0.0021926879882813166,
