p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
dominant_correctness,MaxMin,c=0.0,0.10828801711354273,-0.09225074593032508,-0.005453491210937515
dominant_correctness,MaxMin,c=0.1,0.10319297741486504,-0.06936242185044249,-0.001007080078125
dominant_correctness,MaxMin,c=0.25,0.0834808216182662,-0.053456353698607885,0.00983581542968752
dominant_correctness,MaxMin,c=0.5,0.05480488040675701,-0.0350939175566581,0.004483032226562489
dominant_correctness,MaxMin,c=0.75,0.027272486571741316,-0.017463743889417432,-0.0068191528320312444
dominant_correctness,MaxMin,c=0.9,0.010891963515417174,-0.006974591802832461,-0.006159973144531268
dominant_correctness,MaxMin,c=0.95,0.005443750742012503,-0.003485867286294499,8.087158203128053e-05
dominant_correctness,Fair,"alpha=0.0,eps=0.01",-0.003531965944362032,-0.009999999999999988,0.003430175781249989
dominant_correctness,Fair,"alpha=0.0,eps=0.02",-0.007063931888724114,-0.020000000000000004,-0.0021926879882812264
dominant_correctness,Fair,"alpha=0.0,eps=0.05",-0.017659829721810297,-0.05000000000000001,0.002941894531249989
dominant_correctness,Fair,"alpha=0.0,eps=0.1",-0.03531965944362062,-0.10000000000000002,-0.011437988281249999
dominant_correctness,Fair,"alpha=0.5,eps=0.01",0.00019484285716332134,-0.0009594214453453867,-0.0006164550781249944
dominant_correctness,Fair,"alpha=0.5,eps=0.02",0.0003896857869504704,-0.001918842971402834,-0.0011993408203124917
dominant_correctness,Fair,"alpha=0.5,eps=0.05",0.0009742144032650377,-0.004797106287277938,0.0006698608398437583
dominant_correctness,Fair,"alpha=0.5,eps=0.1",0.001948428963469064,-0.00959421301983084,-0.0006439208984374833
dominant_correctness,Fair,"alpha=1.0,eps=0.01",9.808857612007363e-05,-0.0004875503307902535,0.0
dominant_correctness,Fair,"alpha=1.0,eps=0.02",0.00019617712651307794,-0.0009751005916215982,-0.0006164550781249944
dominant_correctness,Fair,"alpha=1.0,eps=0.05",0.0004904427461126663,-0.002437751412073685,-0.0011993408203124917
dominant_correctness,Fair,"alpha=1.0,eps=0.1",0.000980885450723127,-0.004875502700681905,-0.00029754638671872224
dominant_correctness,Fair,"alpha=2.0,eps=0.01",4.9202305604787245e-05,-0.00024572103753891746,0.0
dominant_correctness,Fair,"alpha=2.0,eps=0.02",9.840453232738802e-05,-0.0004914421421707908,0.0
dominant_correctness,Fair,"alpha=2.0,eps=0.05",0.00024601153996591435,-0.0012286050594870045,-0.0006164550781249944
dominant_correctness,Fair,"alpha=2.0,eps=0.1",0.0004920230496371172,-0.0024572103598529743,-0.0011993408203124917
dominant_coherence,Avg,rho=0.0,0.18287388099333649,-0.13113997345310136,-0.014555358886718758
dominant_coherence,Avg,rho=0.1,0.18287388099333643,-0.1311399734531012,-0.014555358886718758
dominant_coherence,Avg,rho=0.2,0.18287388099333654,-0.1311399734531013,-0.014555358886718758
dominant_coherence,Avg,rho=0.5,0.11051157563559429,-0.08896909263490153,-0.005823898315429676
dominant_coherence,MaxMin,c=0.0,0.10758632410306067,-0.09344902929242728,-0.00943565368652343
dominant_coherence,MaxMin,c=0.1,0.10280062342887834,-0.06970314364540148,-0.005084228515625032
dominant_coherence,MaxMin,c=0.25,0.0824139726943096,-0.05435864977448433,-0.004185485839843753
dominant_coherence,MaxMin,c=0.5,0.05429022523387622,-0.035808774206438944,-0.0028778076171875264
dominant_coherence,MaxMin,c=0.75,0.027043339922019287,-0.017837259817653186,-0.0037582397460937944
dominant_coherence,MaxMin,c=0.9,0.010803949848885462,-0.007126074703315874,0.0005752563476562472
dominant_coherence,MaxMin,c=0.95,0.005400219775304948,-0.0035618796895023007,0.0012771606445312333
dominant_coherence,Fair,"alpha=0.0,eps=0.01",-0.0035319659443620232,-0.009999999999999988,0.000885009765625
dominant_coherence,Fair,"alpha=0.0,eps=0.02",-0.007063931888724123,-0.020000000000000007,-0.0009185791015625111
dominant_coherence,Fair,"alpha=0.0,eps=0.05",-0.01765982972181031,-0.05000000000000002,-0.005195617675781271
dominant_coherence,Fair,"alpha=0.0,eps=0.1",-0.035319659443620595,-0.10000000000000002,-0.010231018066406243
dominant_coherence,Fair,"alpha=0.5,eps=0.01",5.619718144211466e-05,-0.0009594214846010704,-0.0015441894531249903
dominant_coherence,Fair,"alpha=0.5,eps=0.02",0.00011239456088524902,-0.001918842971402834,-0.0003417968750000222
dominant_coherence,Fair,"alpha=0.5,eps=0.05",0.00028098590317687843,-0.004797106675643925,-0.0019287109375000222
