p_name,method,params,predicted_delta_u_p,predicted_min_axis_delta,observed_delta_u_p
only_verbosity,Fair,"alpha=0.5,eps=0.01",-0.00101836215420098,-0.00101836215420098,-0.0005859375000000222
only_verbosity,Fair,"alpha=0.5,eps=0.02",-0.0020367242406197582,-0.0020367242406197582,-0.0012695312499999556
only_verbosity,Fair,"alpha=0.5,eps=0.05",-0.00509181064694596,-0.00509181064694596,0.0016357421875000666
only_verbosity,Fair,"alpha=0.5,eps=0.1",-0.010183624846409793,-0.010183624846409793,-0.007788085937500022
only_verbosity,Fair,"alpha=1.0,eps=0.01",-0.000517632623106697,-0.000517632623106697,0.0
only_verbosity,Fair,"alpha=1.0,eps=0.02",-0.0010352642861883492,-0.0010352642861883492,-0.0005859375000000222
only_verbosity,Fair,"alpha=1.0,eps=0.05",-0.002588160730247336,-0.002588160730247336,-0.0003906249999999778
only_verbosity,Fair,"alpha=1.0,eps=0.1",-0.005176322190523661,-0.005176322190523661,0.0007812500000000666
only_verbosity,Fair,"alpha=2.0,eps=0.01",-0.009601056982681084,-0.009601056982681084,0.0035400390625
only_verbosity,Fair,"alpha=2.0,eps=0.02",-0.000521794811733174,-0.000521794811733174,0.0
only_verbosity,Fair,"alpha=2.0,eps=0.05",-0.0013044863669645738,-0.0013044863669645738,-0.0002929687499999556
only_verbosity,Fair,"alpha=2.0,eps=0.1",-0.002608973366543167,-0.002608973366543167,-0.0003417968750000222
